Item #,Designator,Qty,Manufacturer,Mfg Part #,Value,Description,Package/Footprint,Type
1,U1,1,Texas Instrument,TCA9548A, TCA9548A,TCA9548A 8-channel I2C switch,VQFN24,SMD
2,"C3, C9",2,Murata,GCM188L81H104KA57D,0.1uF,CAP CER 0.1uF 16V 0603,Cap 0603,SMD
3,"R2, R4, R5, R6, R7, R8",6,Panasonic,ERJHP6J103V,10K,RES 10K 5% 0.5W 0805,Res 0805,SMD
4,"R1, R3",2,Vishay,ACASA100221002P100,10K,Isolated resistor array 10K 0.5% 0.3W,resistor array 0612,SMD
5,"C4, C7, C8",3,Murata,GRM21BC81C106KE15L,10uF,CAP CER 10uF 16V 0805,Cap 0805,SMD
6,"C1, C2",2,Murata,GCM1885C2A220JA16D,22pF,CAP CER 22pF 10V 0603,Cap 0603,SMD
7,X2,1,Abracon,ABS07-32.768KHZ-1-T,32.768 kHz,Crystals 32.768kHZ 12.5pF 10PPM,Crystals 3215,SMD
8,U2,1,Diodes Inc,AP2204K-3.3TRG1 ,AP2112K-3.3,SOT23-5 Fixed Voltage Regulators,SOT23-5,SMD
9,U$2,1,Bosch,BNO055,BNO055,BNO055 Bosch 9-axis inertial measurement unit,LGA28,SMD
10,Q3,1,Diodes Inc,BSS138DW-7-F ,BSS138,Dual N-Channel MOSFET,SOT363,SMD
11,D2,1,Vishay,VLMTG1300-GS08,GREEN,LED,0603 chip LED,SMD
12,"CONN3, CONN4",2,JST,SM04B-SRSS-TB,STEMMA_I2C_QT,JST SH4 1mm pitch Right Angle Connector,JST SH4 ,SMD
13,"U$9, U$10, U$16",3,,,,,,DNS
